lng,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4,status,uid_name,lng_wgs84,lat_wgs84,geometry
114.2078935,22.69107639,香港中文大学(深圳),龙翔大道2001号,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFF4H4MQ,科教文化服务,学校,高等院校,,Matched,香港中文大学(深圳),114.2078935,22.69107639,"POLYGON ((114.20945061632897 22.695050148326235, 114.20901566314964 22.694605854025408, 114.2089976683122 22.69452849345018, 114.20905112816233 22.6943415769095, 114.20919168427551 22.693735242235636, 114.20883528031446 22.693336929866113, 114.20842877156954 22.693385206296917, 114.20623109660514 22.690956209878856, 114.20557672741202 22.691281192171967, 114.20503021899518 22.690783204541457, 114.20544161640612 22.690434816088658, 114.20511228209085 22.690036146446044, 114.20369939010321 22.68910953902793, 114.20403462697365 22.68818335502001, 114.20412069982277 22.687948645205935, 114.20461563736139 22.68807648415867, 114.2048614581389 22.687817060650126, 114.20586534119867 22.68693673267411, 114.20694821158555 22.68802705550899, 114.20750766475811 22.688605269542116, 114.20791822191917 22.689031803749707, 114.20757457029731 22.689416538163467, 114.2080663866138 22.68988340410496, 114.20840990073899 22.68961950442641, 114.20853178724322 22.689671675117484, 114.2095288150075 22.69069282938686, 114.21072426577071 22.69193179901068, 114.21184201152228 22.693131904345165, 114.21209147356926 22.69346213106696, 114.21207251419023 22.693847772625688, 114.21067673535742 22.694959677023913, 114.21013524220682 22.694526730911317, 114.20945061632897 22.695050148326235))"
113.933311,22.53110982,深圳大学电子与信息工程学院,南海大道3688号(深大南地铁站B口步行360米),广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0HD7CPI0Q,科教文化服务,学校,高等院校,,No Geometry,,113.933311,22.53110982,
114.1228722,22.55939734,暨南大学第二临床医学院,东门北路1017号(翠竹地铁站D口步行200米),广东省,深圳市,洪湖,科教文化服务;学校;高等院校,141201,B02F37UTZN,科教文化服务,学校,高等院校,,No Uid,,114.1228722,22.55939734,
113.9330892,22.53003523,深圳大学机电与控制工程学院轨道交通学院-汽车服务工程系,南海大道3688号深圳大学沧海校区,广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0FFFFDJ82,科教文化服务,学校,高等院校,,No Uid,,113.9330892,22.53003523,
113.9336767,22.52931332,深圳大学土木工程学院-土木工程系,,广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0FFGE4YNA,科教文化服务,学校,高等院校,,No Uid,,113.9336767,22.52931332,
113.9362608,22.53033895,上海财经大学上海国际银行金融学院广东分院,高新南九道北航大厦一号楼317,广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0GKFCNCSD,科教文化服务,学校,高等院校,,No Geometry,,113.9362608,22.53033895,
113.8390732,22.72225925,星光灿烂艺术学院,上北五路与上寮工业路交叉口东北20米,广东省,深圳市,沙井,科教文化服务;学校;高等院校,141201,B0I02CGH9Q,科教文化服务,学校,高等院校,,No Uid,,113.8390732,22.72225925,
113.8850059,22.56449578,星童学院,46区万科生活广场L2层15C号商铺,广东省,深圳市,新安,科教文化服务;学校;高等院校,141201,B0FFM9U9RN,科教文化服务,学校,高等院校,,No Geometry,,113.8850059,22.56449578,
114.0859076,22.54378744,湖南师范大学研究生深圳爱华教学站,深南中路2038爱华大厦7层,广东省,深圳市,上步,科教文化服务;学校;高等院校,141201,B02F37TD6O,科教文化服务,学校,高等院校,,No Uid,,114.0859076,22.54378744,
113.9120221,22.7817058,中国科学院深圳理工大学(明珠校区),光明区S31(龙大高速),广东省,深圳市,公明,科教文化服务;学校;高等院校,141201,B0GK1713VS,科教文化服务,学校,高等院校,,Matched,中国科学院深圳理工大学(明珠校区),113.9120221,22.7817058,"POLYGON ((113.91173677900504 22.782259718954734, 113.91172597903414 22.782259625503208, 113.91171547919333 22.782257232612228, 113.91170567947282 22.7822527399766, 113.91169707986595 22.782246247263014, 113.9116899803516 22.78223815416309, 113.91168478091865 22.782228660373306, 113.91168158153266 22.78221836564027, 113.91157313371556 22.781338516279508, 113.91153716167081 22.78086509141326, 113.91136922129624 22.779832725715586, 113.91115406795882 22.7789795277134, 113.91104688386804 22.77866529117345, 113.91083003246337 22.777725518933366, 113.91084313318076 22.777721512890714, 113.91085633385815 22.777718106589873, 113.91086973448667 22.777715499907995, 113.91088333507167 22.777713592877944, 113.91089693560158 22.77771248557954, 113.91091063608422 22.777712077988756, 113.91092423650673 22.777712470185097, 113.91164534504148 22.77775483664806, 113.91247492794226 22.777739527436392, 113.91248532747443 22.77774012058468, 113.9124953268799 22.77774311320496, 113.91250442619338 22.777748305683946, 113.91251222545492 22.77775529840952, 113.91251812470351 22.777763891833157, 113.91252202397523 22.77777358618205, 113.91252372330732 22.777783881748736, 113.91249328350753 22.778495670247295, 113.91245325184596 22.779069909467086, 113.91239882012293 22.77965055568373, 113.91234119288491 22.780151229728457, 113.91225155031137 22.780923835466957, 113.91220992165424 22.781429297481274, 113.91216079931134 22.781827598876514, 113.91215909859926 22.78184029581495, 113.91215669791409 22.7818527932551, 113.91215359725096 22.781865191164936, 113.91214979661372 22.78187738957474, 113.91214539600209 22.781889388424045, 113.91214039541936 22.781901087742654, 113.91213469486235 22.78191258756166, 113.91200977907805 22.782217665954118, 113.9120029785756 22.782227866836468, 113.91199477815624 22.78223696893622, 113.91198537782252 22.78224487216223, 113.91197487758343 22.78225137651463, 113.91196357744386 22.782256281872446, 113.9119517773994 22.782259588051264, 113.91193957745993 22.78226109505269, 113.91173677900504 22.782259718954734))"
